Brand,Model,Year,Price,Category
Chevrolet,BOLT EV,2023,41542,SUVs
Chevrolet,BOLT EUV,2023,43147,SUVs
Chevrolet,TRAX,2025,25698,SUVs
Chevrolet,TRAILBLAZER,2025,29698,SUVs
Chevrolet,EQUINOX,2024,31744,SUVs
Chevrolet,EQUINOX EV,2024,51498,SUVs
Chevrolet,BLAZER,2024,45548,SUVs
Chevrolet,BLAZER EV,2023,60298,SUVs
Chevrolet,TRAVERSE,2024,50798,SUVs
Chevrolet,SUBURBAN,2024,80298,SUVs
