"Brand","Model","Year","Price","Category"
"Mitsubishi","OUTLANDER","2024","34598","SUV & Crossover"
"Mitsubishi","OUTLANDER PHEV","2024","48198","SUV & Crossover"
"Mitsubishi","ECLIPSE CROSS","2024","29398","SUV & Crossover"
"Mitsubishi","RVR","2024","24798","SUV & Crossover"
"Mitsubishi","MIRAGE","2024","16998","Hatchback"
